,手數,玩家,行為,進張,手牌,吃,碰,槓,messageA,messageB,messageC,messageD,Total_messageA,talkA,Total_messageB,talkB,Total_messageC,talkC,Total_messageD,talkD
188,21,0,摸,7B,1A 2A 3A 6A 6A 1C 1C 2C 3C 4C 5C 7C 1E ,,,,,,,,,,,,,,,
189,21,0,丟,7B,1A 2A 3A 6A 6A 1C 1C 2C 3C 4C 5C 7C 1E ,,,,,,,,,,,,,,,
190,22,3,吃,7B,5A 6A 8A 8A 8A 6C 2E 2E ,37,5,,,,,,,,,,,,,
191,22,3,丟,6C,5A 6A 8A 8A 8A 2E 2E ,37,5,,,,,,,,,,,,,
192,23,2,吃,6C,0A 2A 3A 4A 1E 2E 2E 3E ,62,18,,,,,,,,,,,,,
193,23,2,丟,1E,0A 2A 3A 4A 2E 2E 3E ,62,18,,,,,,,,,,,,,
194,24,1,摸,1E,4B 6B 7B 5C 6C 3E 3E ,2,11,,,,,,,,,,,,,
195,24,1,丟,4B,6B 7B 5C 6C 1E 3E 3E ,2,11,,,,,,,,,,,,,
196,25,0,摸,1D,1A 2A 3A 6A 6A 1C 1C 2C 3C 4C 5C 7C 1E ,,,,,,,,,,,,,,,
197,25,0,丟,1D,1A 2A 3A 6A 6A 1C 1C 2C 3C 4C 5C 7C 1E ,,,,,,,,,,,,,,,
198,26,3,摸,7A,5A 6A 8A 8A 8A 2E 2E ,37,5,,,,,,,,,,,,,
199,26,3,自摸,7A,5A 6A 8A 8A 8A 2E 2E ,37,5,,,,,,,,,,,,,
200,台,10,總台,30,牌型,根 素胡 首胡 ,,,,,,,,,,,,,,
201,score,-28,40,-26,14,,,,,,,,,,,,,,,
202,score,-28,40,-26,14,,,,,,,,,,,,,,,
203,結束,,,,,,,,,,,,,,,,,,,
204,4,東風北,3,0,2,,,,,,,,,,,,,,,
205,,2,,,6A 0B 6B 7B 0C 0C 1C 1C 2C 2C 5C 0D 2D ,,,,,,,,,,,,,,,
206,,1,,,0A 3A 4A 5A 0B 8B 0C 3C 5C 8C 0E 1E 2E ,,,,,,,,,,,,,,,
207,,0,,,0A 0A 5A 1B 5B 7B 4C 4C 6C 6C 7C 3E 3E ,,,,,,,,,,,,,,,
208,,3,,,2A 5A 7A 0B 0B 3B 8B 3C 6C 0D 0E 2E 3E ,,,,,,,,,,,,,,,
209,4,東風北,3,0,2,,,,,,,,,,,,,,,
210,,2,,,6A 0B 6B 7B 0C 0C 1C 1C 2C 2C 5C 0D 2D ,,,,,,,,,,,,,,,
211,,1,,,0A 3A 4A 5A 0B 8B 0C 3C 5C 8C 0E 1E 2E ,,,,,,,,,,,,,,,
212,,0,,,0A 0A 5A 1B 5B 7B 4C 4C 6C 6C 7C 3E 3E ,,,,,,,,,,,,,,,
213,,3,,,2A 5A 7A 0B 0B 3B 8B 3C 6C 0D 0E 2E 3E ,,,,,,,,,,,,,,,
214,1,3,摸,0E,2A 5A 7A 0B 0B 3B 8B 3C 6C 0D 0E 2E 3E ,,,,,,,,,,,,,,,
215,1,3,丟,0D,2A 5A 7A 0B 0B 3B 8B 3C 6C 0E 0E 2E 3E ,,,,,,,,,,,,,,,
