,手數,玩家,行為,進張,手牌,吃,碰,槓,talkA,talkB,talkC,talkD,messageA,messageB,messageC,messageD,promptA,promptB,promptC,promptD,Total_messageA,Total_messageB,Total_messageC,Total_messageD
78,7,3,碰,0B,5A 7A 3B 6B 8B 3C 6C 0E 0E 2E 3E ,,9,,,,,,,,,,,,,,,,,
79,7,3,丟,3B,5A 7A 6B 8B 3C 6C 0E 0E 2E 3E ,,9,,,,,,,,,,,,,,,,,
80,8,2,摸,0D,3B 6B 7B 0C 0C 1C 1C 2C 2C 4C 5C 0D 2D ,,,,,,,,,,,,,,,,,,,
81,8,2,丟,3B,6B 7B 0C 0C 1C 1C 2C 2C 4C 5C 0D 0D 2D ,,,,,,,,,,,,,,,,,,,
82,9,1,摸,1A,3A 0B 8B 0C 3C 5C 8C 0E 1E 2E ,13,,,,,,,,,,,,,,,,,,
83,9,1,丟,0E,1A 3A 0B 8B 0C 3C 5C 8C 1E 2E ,13,,,,,,,,,,,,,,,,,,
84,10,3,碰,0E,5A 7A 6B 8B 3C 6C 2E 3E ,,9 30 ,,,,,,,,,,,,,,,,,
85,10,3,丟,3C,5A 7A 6B 8B 6C 2E 3E ,,9 30 ,,,,,,,,,,,,,,,,,
86,11,2,吃,3C,6B 7B 0C 0C 1C 1C 2C 5C 0D 0D 2D ,48,,,,,,,,,,,,,,,,,,
87,11,2,丟,5C,6B 7B 0C 0C 1C 1C 2C 0D 0D 2D ,48,,,,,,,,,,,,,,,,,,
88,12,1,摸,3B,1A 3A 0B 8B 0C 3C 5C 8C 1E 2E ,13,,,,,,,,,,,,,,,,,,
89,12,1,丟,0B,1A 3A 3B 8B 0C 3C 5C 8C 1E 2E ,13,,,,,,,,,,,,,,,,,,
90,13,0,摸,1D,1B 5B 7B 4C 4C 6C 6C 7C 3E 3E ,,0,,,,,,,,,,,,,,,,,
91,13,0,丟,1B,5B 7B 4C 4C 6C 6C 7C 1D 3E 3E ,,0,,,,,,,,,,,,,,,,,
92,14,3,摸,0C,5A 7A 6B 8B 6C 2E 3E ,,9 30 ,,,,,,,,,,,,,,,,,
93,14,3,丟,0C,5A 7A 6B 8B 6C 2E 3E ,,9 30 ,,,,,,,,,,,,,,,,,
94,15,2,吃,0C,6B 7B 0C 0C 1C 0D 0D 2D ,44 48 ,,,,,,,,,,,,,,,,,,
95,15,2,丟,2D,6B 7B 0C 0C 1C 0D 0D ,44 48 ,,,,,,,,,,,,,,,,,,
96,16,1,摸,6B,1A 3A 3B 8B 0C 3C 5C 8C 1E 2E ,13,,,,,,,,,,,,,,,,,,
97,16,1,丟,3B,1A 3A 6B 8B 0C 3C 5C 8C 1E 2E ,13,,,,,,,,,,,,,,,,,,
98,17,0,摸,3A,5B 7B 4C 4C 6C 6C 7C 1D 3E 3E ,,0,,,,,,,,,,,,,,,,,
99,17,0,丟,3A,5B 7B 4C 4C 6C 6C 7C 1D 3E 3E ,,0,,,,,,,,,,,,,,,,,
100,18,3,摸,5C,5A 7A 6B 8B 6C 2E 3E ,,9 30 ,,,,,,,,,,,,,,,,,
101,18,3,丟,2E,5A 7A 6B 8B 5C 6C 3E ,,9 30 ,,,,,,,,,,,,,,,,,
102,19,2,摸,2B,6B 7B 0C 0C 1C 0D 0D ,44 48 ,,,,,,,,,,,,,,,,,,
103,19,2,丟,2B,6B 7B 0C 0C 1C 0D 0D ,44 48 ,,,,,,,,,,,,,,,,,,
104,20,1,摸,7C,1A 3A 6B 8B 0C 3C 5C 8C 1E 2E ,13,,,,,,,,,,,,,,,,,,
105,20,1,丟,0C,1A 3A 6B 8B 3C 5C 7C 8C 1E 2E ,13,,,,,,,,,,,,,,,,,,
106,21,2,碰,0C,6B 7B 1C 0D 0D ,44 48 ,18,,,,,,,,,,,,,,,,,
107,21,2,丟,1C,6B 7B 0D 0D ,44 48 ,18,,,,,,,,,,,,,,,,,
108,22,1,摸,6C,1A 3A 6B 8B 3C 5C 7C 8C 1E 2E ,13,,,,,,,,,,,,,,,,,,
109,22,1,丟,1E,1A 3A 6B 8B 3C 5C 6C 7C 8C 2E ,13,,,,,,,,,,,,,,,,,,
110,23,0,摸,1C,5B 7B 4C 4C 6C 6C 7C 1D 3E 3E ,,0,,,,,,,,,,,,,,,,,
111,23,0,丟,1C,5B 7B 4C 4C 6C 6C 7C 1D 3E 3E ,,0,,,,,,,,,,,,,,,,,
112,24,3,摸,1E,5A 7A 6B 8B 5C 6C 3E ,,9 30 ,,,,,,,,,,,,,,,,,
113,24,3,丟,1E,5A 7A 6B 8B 5C 6C 3E ,,9 30 ,,,,,,,,,,,,,,,,,
114,25,2,摸,5B,6B 7B 0D 0D ,44 48 ,18,,,,,,,,,,,,,,,,,
115,25,2,自摸,5B,6B 7B 0D 0D ,44 48 ,18,,,,,,,,,,,,,,,,,
116,台,6,總台,18,牌型,根 首胡 ,,,,,,,,,,,,,,,,,,
117,score,-34,34,-8,8,,,,,,,,,,,,,,,,,,,
118,score,-34,34,-8,8,,,,,,,,,,,,,,,,,,,
119,結束,,,,,,,,,,,,,,,,,,,,,,,
